sudo: kan computernaam hp-smart-printing niet herleiden: Tijdelijk probleem in naamsherleiding
Bastion (Rust) initializing...
Listening on NFQUEUE 1. Triggers valid if traffic is outbound.
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47512 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47512 -> 53 | 73 bytes
[RUST] Packet: 192.168.1.35 -> 57.144.223.32 | TCP 54036 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47781 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47781 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46567 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46567 -> 53 | 73 bytes
[RUST] Packet: 192.168.1.35 -> 255.255.255.255 | UDP 17500 -> 17500 | 211 bytes
[RUST] Packet: 192.168.1.35 -> 192.168.1.255 | UDP 17500 -> 17500 | 211 bytes
[RUST] Packet: 192.168.1.35 -> 74.125.143.95 | TCP 45948 -> 443 | 76 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43605 -> 53 | 74 bytes
[RUST] Packet: 192.168.1.35 -> 74.125.143.95 | TCP 45948 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 142.250.153.95 | TCP 52622 -> 443 | 76 bytes
[RUST] Packet: 192.168.1.35 -> 142.250.153.95 | TCP 52622 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 185.125.188.36 | TCP 55318 -> 443 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 35552 -> 43765 | 273 bytes
[RUST] Packet: 192.168.1.35 -> 172.217.218.95 | TCP 40432 -> 443 | 76 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 49567 -> 53 | 70 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 38704 -> 53 | 72 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 172.217.218.95 | TCP 39780 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 36923 -> 53 | 76 bytes
[RUST] Packet: 192.168.1.35 -> 57.144.223.32 | TCP 54036 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 57.144.223.32 | TCP 54042 -> 443 | 40 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 39672 -> 43649 | 60 bytes
[RUST] Packet: 192.168.1.35 -> 185.70.42.37 | TCP 53968 -> 443 | 287 bytes
[RUST] Packet: 192.168.1.35 -> 8.8.8.8 | UDP 51392 -> 53 | 71 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 142.251.18.95 | TCP 56946 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 57421 -> 53 | 76 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 32878 -> 53 | 59 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 9736 -> 53 | 59 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 27715 -> 53 | 61 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 2969 -> 53 | 61 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 44100 -> 53 | 59 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 15389 -> 53 | 59 bytes
[RUST] Packet: 192.168.1.35 -> 151.101.36.157 | TCP 53436 -> 443 | 64 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 31987 -> 53 | 61 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 61222 -> 53 | 61 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 53293 -> 53 | 70 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 54821 -> 53 | 72 bytes
[RUST] Packet: 192.168.1.35 -> 173.194.79.95 | TCP 53530 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 151.101.36.157 | TCP 53436 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 57246 -> 53 | 63 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 3726 -> 53 | 63 bytes
